Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,82,3.2,18:45,0,0,,0.00,,,
,00:00:01,84,3.2,18:45,42,0,,2.90,,,
,00:00:02,85,4.5,13:20,74,0,,6.00,,,
,00:00:03,87,6.1,09:50,80,0,,9.33,,,
,00:00:04,87,7.4,08:06,83,0,,12.67,,,
,00:00:05,87,8.3,07:14,84,0,,16.00,,,
,00:00:06,88,9.0,06:40,84,0,,19.33,,,
,00:00:07,90,9.3,06:27,84,0,,22.67,,,
,00:00:08,92,9.5,06:19,84,0,,26.00,,,
,00:00:09,93,9.4,06:23,84,0,,29.33,,,
,00:00:10,95,9.4,06:23,85,0,,32.67,,,
,00:00:11,96,9.4,06:23,86,0,,36.00,,,
,00:00:12,97,9.4,06:23,85,0,,39.33,,,
,00:00:13,97,9.5,06:19,86,0,,42.67,,,
,00:00:14,98,9.6,06:15,85,0,,46.00,,,
,00:00:15,99,9.6,06:15,85,0,,49.33,,,
,00:00:16,100,9.6,06:15,85,0,,52.67,,,
,00:00:17,101,9.6,06:15,85,0,,56.00,,,
,00:00:18,102,9.6,06:15,85,0,,59.33,,,
,00:00:19,103,9.6,06:15,85,0,,62.67,,,
,00:00:20,104,9.6,06:15,85,0,,66.00,,,
,00:00:21,105,9.4,06:23,85,0,,69.33,,,
,00:00:22,105,9.4,06:23,85,0,,72.67,,,
,00:00:23,106,9.1,06:36,85,0,,76.00,,,
,00:00:24,106,8.8,06:49,85,0,,79.33,,,
,00:00:25,106,8.6,06:59,85,0,,82.67,,,
,00:00:26,106,8.6,06:59,85,0,,85.30,,,
,00:00:27,106,8.7,06:54,85,0,,87.70,,,
,00:00:28,106,8.8,06:49,85,0,,90.30,,,
,00:00:29,106,8.7,06:54,85,0,,92.80,,,
,00:00:30,106,8.9,06:44,85,0,,95.40,,,
,00:00:31,106,9.0,06:40,85,0,,98.00,,,
,00:00:32,106,8.9,06:44,85,0,,100.60,,,
,00:00:33,107,8.9,06:44,85,0,,103.40,,,
,00:00:34,106,9.0,06:40,85,0,,106.10,,,
,00:00:35,107,8.8,06:49,85,0,,108.70,,,
,00:00:36,107,8.8,06:49,85,0,,111.30,,,
,00:00:37,108,8.7,06:54,85,0,,113.80,,,
,00:00:38,108,8.7,06:54,85,0,,116.30,,,
,00:00:39,109,8.4,07:09,85,0,,118.60,,,
,00:00:40,110,8.3,07:14,85,0,,121.00,,,
,00:00:41,111,8.1,07:24,85,0,,123.30,,,
,00:00:42,113,7.7,07:48,85,0,,125.40,,,
,00:00:43,114,7.5,08:00,85,0,,127.40,,,
,00:00:44,115,7.5,08:00,85,0,,129.40,,,
,00:00:45,116,7.2,08:20,84,0,,131.30,,,
,00:00:46,117,6.8,08:49,84,0,,133.10,,,
,00:00:47,118,6.3,09:31,83,0,,134.60,,,
,00:00:48,119,5.2,11:32,83,0,,135.90,,,
,00:00:49,120,4.0,15:00,83,0,,136.60,,,
,00:00:50,121,4.1,14:38,81,0,,137.10,,,
,00:00:51,122,4.1,14:38,80,0,,137.40,,,
,00:00:52,122,4.2,14:17,80,0,,137.80,,,
,00:00:53,123,4.2,14:17,80,0,,138.00,,,
,00:00:54,124,4.9,12:15,80,542,,138.30,,,
,00:00:55,124,4.9,12:15,81,542,,139.00,,,
,00:00:56,125,5.1,11:46,83,542,,140.40,,,
,00:00:57,125,5.2,11:32,84,542,,142.50,,,
,00:00:58,125,5.4,11:07,84,542,,145.10,,,
,00:00:59,126,5.6,10:43,84,542,,148.10,,,
,00:01:00,126,7.0,08:34,84,541,,151.43,,,
,00:01:01,126,7.5,08:00,84,541,,154.77,,,
,00:01:02,125,7.8,07:42,84,541,,158.10,,,
,00:01:03,125,8.0,07:30,84,541,,161.43,,,
,00:01:04,125,8.4,07:09,84,540,,164.77,,,
,00:01:05,125,8.3,07:14,84,540,,167.50,,,
,00:01:06,125,8.3,07:14,84,540,,169.80,,,
,00:01:07,125,8.3,07:14,84,540,,172.30,,,
,00:01:08,125,8.3,07:14,84,539,,174.60,,,
,00:01:09,125,8.3,07:14,84,539,,176.80,,,
,00:01:10,125,8.4,07:09,84,538,,178.90,,,
,00:01:11,126,8.4,07:09,84,538,,181.00,,,
,00:01:12,126,8.5,07:04,84,537,,183.20,,,
,00:01:13,126,8.5,07:04,84,537,,185.70,,,
,00:01:14,127,8.6,06:59,84,536,,187.90,,,
,00:01:15,127,8.6,06:59,84,536,,190.40,,,
,00:01:16,127,8.6,06:59,84,534,,193.00,,,
,00:01:17,128,8.6,06:59,83,534,,195.70,,,
,00:01:18,128,8.6,06:59,83,533,,198.40,,,
,00:01:19,128,8.6,06:59,83,533,,201.00,,,
,00:01:20,128,8.6,06:59,83,532,,203.40,,,
,00:01:21,128,8.7,06:54,83,532,,205.90,,,
,00:01:22,128,8.8,06:49,84,530,,208.30,,,
,00:01:23,128,8.8,06:49,84,530,,210.90,,,
,00:01:24,129,8.8,06:49,84,529,,213.40,,,
,00:01:25,129,8.8,06:49,84,529,,215.90,,,
,00:01:26,128,8.9,06:44,84,528,,218.30,,,
,00:01:27,128,8.8,06:49,84,528,,220.80,,,
,00:01:28,127,8.8,06:49,84,527,,223.30,,,
,00:01:29,127,8.9,06:44,84,527,,225.90,,,
,00:01:30,126,8.9,06:44,84,525,,228.50,,,
,00:01:31,126,8.9,06:44,84,525,,230.90,,,
